Price_A,Price_B,Price_C,Price_D,Price_E
19.3,198.91,186.88,125.26,105.22
19.32,198.33,186.07,123.63,105.54
19.81,200.81,185.63,124.44,108.99
20.16,201.28,189.13,126.99,107.79
20.72,201.03,190.47,128.31,107.44
20.91,199.1,192.77,130.07,107.74
21.4,198.03,190.91,129.77,107.35
20.29,198.87,190.11,128.02,106.59
20.19,198.07,193.16,126.94,106.91
20.23,198.98,188.74,127.42,106.93
20.59,202.17,195.79,128.09,107.12
20.48,198.2,192.81,128.31,108.13
20.38,198.02,191,126.82,106.42
20.19,198.94,192.33,124.22,107.26
19.84,199.17,195,124.65,106.69
20.06,199.84,188.9,122.89,106.69
20.23,202.2,190.46,120.04,107.68
19.99,201.33,192.02,123.02,108.9
20,201.81,192.64,123.6,108.65
19.9,199.94,186.88,120.65,106.82
19.6,202.33,190.11,119.68,106.09
19.39,202.55,186.1,116.59,105.79
19.81,202.04,183.09,117.79,107.03
20.02,202.83,185.15,117.06,106.83
19.57,204.29,184.95,117.13,106.8
19.09,205.55,184.48,116.29,107.42
19.13,203.27,185.71,114.28,104.46
19.33,204.99,188.48,116.33,106.57
19.8,204.64,186.18,115.9,106.4
19.64,205.96,187,116.25,107.04
20.35,207.02,187.5,116.21,107.78
20.82,208.84,189.86,116.6,108.68
21.18,210.2,190.79,118.24,110.11
21.26,208.96,192.57,118.18,110.08
21.38,214.12,187.34,116.57,112.51
21.49,216.1,184.74,116.92,112.97
21.38,217.9,186.03,117.96,109.9
21.9,224.01,181.47,116.05,107.22
22.23,228.68,181.53,115.93,108.18
22.31,227.99,180.89,118.17,107.49
22.35,227.7,182.32,118.17,108.62
22.64,231.97,180.24,117.19,107.66
22.76,227.67,180.2,117.17,108.39
23.45,231.48,183.7,118.97,109.7
24.13,232.97,183.57,118.9,109.95
24.38,231.12,185.58,119.41,110.22
24.41,232.56,188.67,121.54,110.09
24.74,231.87,189.53,121.99,109.93
24.94,233.14,189.56,120.35,110.2
24.54,231.89,192.55,119.22,109.23
24.32,232.97,195.12,119.5,111.22
24.89,234.69,188.24,116.94,108.98
25.49,229.64,185.4,117.64,107.17
25.16,226,187.5,118.68,107.15
25.77,227.95,191.88,121.51,105.8
25,226.86,191.23,121.4,106.35
24.72,228.06,187.71,121.55,106.45
24.42,228.41,187.83,122.51,105.08
24.5,224.17,187.61,121.4,105.22
24.32,230.15,192.37,123.65,106.75
23.46,224.87,189.71,123.86,104.64
23.2,224.76,189.81,126.25,108.81
22.56,224.97,189.18,124.43,109.12
22.75,224.62,184.99,123.27,108.91
22.42,224.95,187.98,126.18,111.49
22.66,224.84,194.59,126.24,112.75
22.97,222.58,193.11,126.04,114.2
23.23,224.56,194.99,124.91,112.55
23.27,224.2,194.09,123.89,111.49
23.16,222.99,195.32,122.96,110.67
22.77,222.01,189.01,122.13,109.91
22.53,221.55,187.08,120.8,109.14
22.2,222.7,188.13,119.15,109.77
21.85,220.48,187.49,119.14,108.55
21.87,219.94,188.59,119.01,108.11
21.72,216.96,186.9,120.02,107.03
21.65,220.83,188.18,118.88,109.22
21.46,218.32,187.12,118.14,108.92
22.03,221.97,187.63,120.69,109.68
21.9,220.94,183.79,118.63,106.34
22.54,220.96,178.95,117.58,104.38
21.96,220.03,177.28,118.43,104.83
21.91,218.85,182.33,122.18,106.38
22.21,217.9,177.46,123.67,104.84
22.33,219.18,174.43,117.16,100.95
22.18,219.72,175.13,118.7,102.54
22.2,220.51,181.56,121.64,103.07
21.54,221.93,185.9,122.27,105.17
21.4,222.28,180.01,125.16,105.04
20.83,221.54,182.07,124.38,105.1
21.72,223.82,180.9,124.49,104.97
21.69,222.9,180.48,122.58,105.15
23.91,227.65,181.52,126.36,107.69
24.66,226.09,183.27,126.02,108.04
22.95,224.63,175.66,123.16,106.41
22.02,224.81,171.19,122.62,104.42
22.82,227.88,174.17,123.7,105.52
22.99,229.37,180.46,124.39,105.24
22.97,224.8,180.86,122.4,106.96
22.94,230.14,182.97,122.27,105.89
23.42,232.25,185.06,123.43,105.09
22.86,225.47,185.44,119.72,103.27
23.05,228.13,187.9,119.97,104.76
22.19,229.22,186.84,122.05,104.22
22.66,232.59,189.69,123.18,107.59
23.51,235.33,191.48,123.66,106.07
22.46,232.86,191.69,123.73,105.74
23.9,237.8,191.63,128.25,107.51
23.83,227.78,192.24,125.83,108.35
23.7,225.7,194.75,125.43,108.24
23.22,220.1,189.69,118.58,106.97
22.41,212,184.86,115.86,102.15
22.42,207.56,181.1,114.81,105.37
22.04,213.87,188.32,114.6,107.09
23.97,219.57,194.36,116.11,111.76
24.09,219.31,191.74,116.09,110.94
24.16,218.21,190.47,116.03,111.01
24.55,218.73,191.13,117.97,111.95
24.65,218.58,193.33,115.1,112.62
24.47,218.12,190.77,117.98,114.2
25.15,215.72,190.65,116.95,115.64
25.21,226.9,194.38,117.49,116.6
25.21,230.08,195.02,117.12,117.38
24.81,233.3,195.73,115.74,116.49
25.25,225.27,196.63,115.13,116.17
25.33,229.31,196.22,115.93,116.08
25.05,229.03,197.56,116.52,115.6
25.26,234.3,198.87,117.99,117.32
25.16,225.26,198.1,118.04,117.92
25,227.61,197.95,117.94,117.89
25.22,234.94,200.04,117.23,118.97
25.34,241,200.18,118.16,118.38
25.38,239.46,200.03,118.24,121.37
25.66,238.09,204.82,115.29,122.17
25.69,239.24,199.09,114.26,120.88
26.16,237.45,192.81,114.23,119.55
26.25,237.27,197.09,114.44,119.73
26.09,236.7,195.94,114.05,120.49
26.49,234.87,198.32,114.03,120.51
26.92,238.16,199.82,114.21,121.23
27.06,238.55,199.98,114.52,120.79
27.09,239.79,200.75,114.29,118.98
26.78,239.83,203.9,112.66,118.36
26.66,238.14,201.49,112.18,117.04
26.85,238.66,199.79,112.76,117.87
27.06,237.28,201.12,113.84,119.75
27.23,236.98,199.51,114.31,119.24
26.67,236.54,200.99,113.82,121.57
26.72,239.22,202.89,114.46,120.01
26.65,239.12,202.37,114.39,118.72
26.85,238.43,199.9,113.24,118.32
26.97,238.23,203.19,112.41,117.04
26.82,238.57,201.19,113.64,119.56
27.4,240.53,205.37,116.14,119.54
26.86,242.05,202.44,114.93,117.56
27.14,239.99,205.64,114.24,119.86
27.24,239.91,206.17,115.58,121.15
27.8,239.14,203.09,115.87,121.28
27.64,239.97,204.21,117.81,123.99
27.87,239.55,205.15,116.02,122.86
27.54,239.89,203.94,117.72,123.49
26.8,239.93,201.97,117.99,122.81
26.74,235.52,197.96,117.5,123.59
26.78,237.83,200.1,117.88,123.88
26.48,237.01,197.61,117.82,124.87
26.96,233.17,195.68,112.56,122.37
27.45,234.63,198.13,114.14,121.48
27.54,235.14,199.5,114.4,122.42
27.73,229.11,194.36,113.65,123.39
27.98,227.2,193.86,113.6,121.57
28.9,227.35,193.58,115.64,123.5
28.8,232.85,194.99,115.55,124.96
28.9,238.39,198.56,115.8,126.2
28.77,235.72,194.38,114.72,124.6
29.09,232.17,196.02,115.77,126.11
29.05,231.14,194.11,114.96,121.86
29.12,235.15,195.7,115.87,121.43
28.55,241.24,193.05,116.7,123.72
29.26,242.39,193.02,116.66,122.67
